"Phoneme","Comprate","mask type "
"p","0.9105841885369260","ex"
"p","0.9196714212109940","ex"
"p","0.9407605235313941","ex"
"p","0.8251837451037400","ex"
"t","0.8990295289180780","ex"
"t","0.9723848127463540","ex"
"t","0.9836925927144320","ex"
"t","0.9351290676408910","ex"
"t","0.9732694556430550","ex"
"t","0.9751795760588829","ex"
"t","0.9565782254848150","ex"
"k","0.9725661428994120","ex"
"k","0.9766888084256050","ex"
"k","0.9912630435625330","ex"
"k","0.9093037835688120","ex"
"k","0.8881947123006020","ex"
"k","0.9849510989482280","ex"
"k","0.9405297176592790","ex"
"g","0.9791529643049010","ex"
"tS","0.9795468305575660","ex"
"tS","0.9455078298304180","ex"
"tS","0.9521624988736900","ex"
"dZ","0.9870226442930610","ex"
"dZ","0.8428593340254790","ex"
"dZ","0.9424426265911460","ex"
"dZ","0.4056947380148340","ex"
"f","0.9112784359789720","ex"
"f","0.8726563639051980","ex"
"v","0.9720005563894680","ex"
"v","0.9863802618782470","ex"
"v","0.9466436895107621","ex"
"T","0.6791435369859600","ex"
"D","0.9293917382429659","ex"
"s","0.9162482360730539","ex"
"s","0.8673673374719930","ex"
"s","0.8842254220788940","ex"
"s","0.9339378696437270","ex"
"s","0.9067261275672210","ex"
"s","0.9237260999290700","ex"
"s","0.9315566214168270","ex"
"s","0.8757570807447780","ex"
"s","0.9520483194250320","ex"
"s","0.9677825033859010","ex"
"s","0.9770435286521520","ex"
"s","0.8882706052377500","ex"
"s","0.8935245696586800","ex"
"s","0.9748513424235000","ex"
"s","0.9236709344843270","ex"
"s","0.9825080738031710","ex"
"s","0.9280252456723120","ex"
"s","0.9284238253548560","ex"
"s","0.9742907035930291","ex"
"s","0.9301991204269990","ex"
"s","0.8799676475834530","ex"
"s","0.9723979933076280","ex"
"s","0.9500848237087161","ex"
"s","0.9239207068310850","ex"
"s","0.9688800888490821","ex"
"s","0.8268321303485600","ex"
"s","0.9358121954436260","ex"
"s","0.9606449389346350","ex"
"s","0.9752485405548870","ex"
"z","0.9379876553604670","ex"
"z","0.9764229748288220","ex"
"z","0.9593917225388739","ex"
"z","0.9017296113392090","ex"
"z","0.8798833026240720","ex"
"z","0.8985626137126020","ex"
"z","0.9744124890579430","ex"
"z","0.9581188247471260","ex"
"z","0.9881469845446780","ex"
"z","0.8042607118899709","ex"
"z","0.9086513060215490","ex"
"z","0.9561014128929670","ex"
"S","0.9608196403578509","ex"
"S","0.8886838094136330","ex"
"S","0.9500991506247430","ex"
"S","0.9411146709787380","ex"
"S","0.9874923658953350","ex"
"S","0.9657642143695340","ex"
"S","0.8096228980285510","ex"
"m","0.9184379882173510","ex"
"m","0.9270974910839670","ex"
"m","0.9905061821731770","ex"
"m","0.9776968759730170","ex"
"m","0.9957757039807720","ex"
"m","0.7890897414262070","ex"
"m","0.9847776286749780","ex"
"m","0.8836481181835070","ex"
"m","0.9784372493424019","ex"
"n","0.8551350666578910","ex"
"n","0.9898467513984420","ex"
"n","0.9731474126553110","ex"
"n","0.9328445263208510","ex"
"n","0.9518447135692970","ex"
"n","0.9901455533384720","ex"
"n","0.9964152901541120","ex"
"n","0.9925909717554440","ex"
"n","0.9824234367669400","ex"
"n","0.9092893613270721","ex"
"n","0.9801624398868310","ex"
"n","0.9799223178855631","ex"
"n","0.9672268985579660","ex"
"n","0.9895942093976400","ex"
"n","0.9247497597022830","ex"
"n","0.9554123492530739","ex"
"n","0.9448751721972370","ex"
"n","0.9075812305896970","ex"
"n","0.9964309102745500","ex"
"N","0.9837616331976540","ex"
"r","0.9852655082624650","ex"
"r","0.8173495912825191","ex"
"r","0.9621003291583740","ex"
"r","0.9727841523979460","ex"
"r","0.9716368076008950","ex"
"r","0.9873805804607850","ex"
"r","0.9775304491676560","ex"
"r","0.9907181595294510","ex"
"r","0.9502022249433290","ex"
"r","0.9572714136446440","ex"
"r","0.9593144059590060","ex"
"r","0.9215698038072730","ex"
"r","0.9685509425969550","ex"
"r","0.8917251062618200","ex"
"r","0.9922678509408031","ex"
"r","0.9940992321220270","ex"
"l","0.8946510757587370","ex"
"l","0.8094517159711681","ex"
"l","0.9277085106681030","ex"
"l","0.9576011523827080","ex"
"l","0.9213853676435390","ex"
"l","0.9115612904283460","ex"
"l","0.9762824918933380","ex"
"w","0.9440520596810810","ex"
"I","0.9318245231383350","ex"
"I","0.9896172147005790","ex"
"I","0.9178429075459890","ex"
"I","0.9614224760579800","ex"
"I","0.9244216358607040","ex"
"I","0.9572434191975350","ex"
"I","0.8641577664506810","ex"
"I","0.9892191251745750","ex"
"I","0.9322951929732690","ex"
"I","0.8871123758895820","ex"
"I","0.9599138089998440","ex"
"e","0.9568244805571440","ex"
"e","0.9398349187008240","ex"
"e","0.9901696367107000","ex"
"e","0.9929411870047550","ex"
"e","0.8469616241953420","ex"
"e","0.9801679652797480","ex"
"{","0.9683882506850070","ex"
"{","0.9912810040434040","ex"
"{","0.9399770636533010","ex"
"{","0.8419775645780820","ex"
"{","0.9851256317028940","ex"
"Q","0.9761245153383890","ex"
"Q","0.9956352037392699","ex"
"Q","0.9951731785203330","ex"
"Q","0.9333721509291480","ex"
"V","0.8541103644958280","ex"
"U","0.9396402609078810","ex"
"U","0.9477823239411060","ex"
"U","0.9823660692240850","ex"
"U","0.8841533326526489","ex"
"@","0.9846067413926360","ex"
"@","0.8264838549325310","ex"
"@","0.8196790316918240","ex"
"@","0.9914118005120200","ex"
"@","0.9488770443525600","ex"
"@","0.9485300771427509","ex"
"@","0.9644377042859700","ex"
"@","0.9660106748769141","ex"
"@","0.9864497955939130","ex"
"@","0.9384922268294370","ex"
"@","0.9868765238658670","ex"
"@","0.9613724904386390","ex"
"@","0.9615862492011580","ex"
"@","0.9520296188543730","ex"
"@","0.9891290779769230","ex"
"@","0.9880519738107451","ex"
"@","0.7968134978249590","ex"
"@","0.9335261063813530","ex"
"@","0.8632576969719210","ex"
"@","0.9896624762072680","ex"
"i:","0.9432836504561540","ex"
"i:","0.9570673759956559","ex"
"i:","0.8977715996774270","ex"
"i:","0.9614915211576610","ex"
"i:","0.9094343052647390","ex"
"i:","0.9944603456901560","ex"
"i:","0.8486884829473770","ex"
"i:","0.9336799852048679","ex"
"i:","0.7899050832507020","ex"
"i:","0.9809104359326630","ex"
"i:","0.9791989046770460","ex"
"eI","0.9902484466393769","ex"
"eI","0.9933920254007380","ex"
"eI","0.9133978751454580","ex"
"eI","0.8228109405415330","ex"
"eI","0.8280444472227400","ex"
"eI","0.9972691335726830","ex"
"eI","0.9909307400160590","ex"
"eI","0.9692770178997120","ex"
"aI","0.9913909498980110","ex"
"aI","0.9598063370954690","ex"
"aI","0.9639824213642960","ex"
"u:","0.9860937633730600","ex"
"@U","0.9822803977204020","ex"
"aU","0.9796870086203660","ex"
"3:","0.9738286016112080","ex"
"3:","0.9825307806537580","ex"
"A:","0.9835551677415670","ex"
"A:","0.9877358643203450","ex"
"A:","0.9833450515607850","ex"
"A:","0.9608013647710960","ex"
"A:","0.9724128036638300","ex"
"O:","0.9842479265996470","ex"
"O:","0.9739579859083590","ex"
"O:","0.8934122725524490","ex"
"O:","0.8732228457760240","ex"
"O:","0.9448276732326421","ex"
"O:","0.8927050035057810","ex"
"O:","0.9479393473201270","ex"
"I@","0.9954809595341960","ex"
"e@","0.9868482390207620","ex"
"e@","0.7802406407413950","ex"
"i","0.9598089466536970","ex"
"i","0.9758745434686440","ex"
"i","0.9804137983751620","ex"
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
